iter	Passed	Remaining
0	206	205880
1	277	138388
2	317	105370
3	355	88557
4	389	77548
5	427	70890
6	458	65068
7	494	61328
8	526	57933
9	553	54837
10	584	52513
11	614	50611
12	644	48964
13	679	47844
14	713	46834
15	746	45911
16	778	45003
17	814	44412
18	847	43754
19	876	42956
20	892	41605
21	926	41187
22	960	40805
23	995	40489
24	1029	40144
25	1062	39819
26	1097	39536
27	1115	38709
28	1149	38490
29	1183	38258
30	1215	37990
31	1249	37792
32	1285	37657
33	1320	37511
34	1333	36760
35	1366	36588
36	1398	36386
37	1434	36312
38	1467	36149
39	1500	36023
40	1533	35880
41	1565	35712
42	1614	35926
43	1646	35781
44	1675	35561
45	1714	35562
46	1750	35488
47	1790	35510
48	1830	35523
49	1852	35206
50	1880	34982
51	1911	34843
52	1949	34832
53	1989	34849
54	2030	34880
55	2070	34899
56	2108	34890
57	2144	34832
58	2183	34819
59	2222	34818
60	2265	34869
61	2305	34872
62	2347	34912
63	2382	34849
64	2419	34802
65	2459	34809
66	2504	34870
67	2545	34882
68	2583	34855
69	2617	34780
70	2644	34599
71	2679	34541
72	2714	34470
73	2747	34386
74	2783	34325
75	2797	34016
76	2830	33930
77	2864	33855
78	2898	33790
79	2931	33709
80	2963	33625
81	2995	33536
82	3027	33451
83	3061	33383
84	3094	33306
85	3124	33203
86	3157	33132
87	3189	33052
88	3220	32969
89	3255	32918
90	3287	32835
91	3320	32770
92	3352	32697
93	3383	32610
94	3416	32546
95	3448	32469
96	3486	32455
97	3499	32209
98	3524	32076
99	3558	32029
100	3594	31994
101	3631	31972
102	3666	31933
103	3675	31663
104	3689	31452
105	3713	31320
106	3748	31283
107	3783	31244
108	3796	31037
109	3827	30968
110	3860	30918
111	3893	30866
112	3911	30702
113	3947	30679
114	3981	30637
115	4017	30613
116	4051	30579
117	4060	30350
118	4097	30333
119	4135	30326
120	4171	30303
121	4186	30130
122	4223	30115
123	4260	30096
124	4293	30052
125	4331	30042
126	4371	30049
127	4411	30051
128	4448	30033
129	4469	29909
130	4505	29888
131	4542	29871
132	4564	29752
133	4577	29584
134	4611	29547
135	4645	29512
136	4653	29314
137	4661	29116
138	4696	29093
139	4735	29088
140	4773	29078
141	4808	29053
142	4830	28948
143	4867	28935
144	4905	28924
145	4942	28911
146	4981	28904
147	5020	28902
148	5064	28925
149	5076	28764
150	5121	28795
151	5164	28812
152	5210	28846
153	5261	28903
154	5299	28889
155	5337	28879
156	5370	28837
157	5408	28823
158	5427	28708
159	5446	28594
160	5494	28635
161	5538	28651
162	5574	28626
163	5612	28611
164	5654	28613
165	5695	28613
166	5738	28623
167	5785	28651
168	5821	28623
169	5834	28486
170	5872	28468
171	5908	28443
172	5948	28436
173	5991	28440
174	6032	28439
175	6056	28354
176	6077	28260
177	6122	28272
